dc,hf_month,hf_week,delivery_date,source,destination,sku,sku_category,randomized_delivery_quantity
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-33748,C_05,14
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-77990,C_05,19
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-43520,C_05,13
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-74965,C_08,4
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-88356,C_05,310
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-85039,C_05,17
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-99522,C_08,127
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-27457,C_08,12
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-44794,C_08,25
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-96768,C_03,142
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-24594,C_05,77
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-82385,C_08,23
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-29227,C_08,233
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-89636,C_03,269
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-77636,C_06,592
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-13951,C_04,94
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-79780,C_08,65
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-46130,C_08,96
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-77636,C_06,214
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-88356,C_05,428
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-80500,C_06,37
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-44895,C_04,6
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-50557,C_05,24
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-95705,C_08,36
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-28027,C_01,13
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-96768,C_03,753
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-86740,C_05,312
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-15604,C_06,175
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-57213,C_06,21
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-33076,C_06,92
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-14336,C_06,56
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-92195,C_01,126
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-74881,C_06,136
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-30748,C_08,191
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-78026,C_05,28
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-38422,C_06,74
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-72438,C_08,194
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-41649,C_05,80
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-50608,C_08,56
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-34444,C_01,14
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-94174,C_05,12
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-13438,C_06,430
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-61472,C_05,275
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-24594,C_05,152
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-24999,C_04,342
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-50608,C_08,68
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-35464,C_06,78
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-89636,C_03,62
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-21165,C_06,24
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-60402,C_08,78
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-50608,C_08,4
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-60741,C_04,2
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-34285,C_06,48
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-44094,C_08,78
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-27044,C_06,66
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-13438,C_06,504
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-73165,C_05,16
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-36679,C_08,98
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-28097,C_08,16
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-19891,C_06,84
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-22002,C_05,120
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-51811,C_06,124
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-96096,C_08,4
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-29418,C_08,120
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-48933,C_08,45
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-30445,C_05,112
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-12097,C_08,125
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-93397,C_08,209
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-45430,C_06,274
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-56415,C_08,14
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-97893,C_05,14
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-34444,C_01,22
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-41243,C_05,110
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-33733,C_05,68
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-74881,C_06,81
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-65658,C_05,34
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-34495,C_08,34
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-33050,C_06,24
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-62890,C_07,28
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-48354,C_08,130
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-58361,C_08,604
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-63543,C_08,450
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-68143,C_04,57
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-47825,C_05,295
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-15604,C_06,229
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-69272,C_06,98
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-96704,C_06,248
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-16422,C_08,166
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-42233,C_08,5
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-70568,C_08,10
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-79780,C_08,41
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-26856,C_01,269
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-15786,C_06,134
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-73037,C_06,454
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-12999,C_06,38
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-99269,C_08,16
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-66986,C_06,22
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-41369,C_08,24
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-81014,C_06,755
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-13951,C_04,14
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-72971,C_08,55
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-73205,C_01,37
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-81744,C_08,6
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-45838,C_05,1249
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-18573,C_05,4
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-21488,C_08,47
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-59386,C_06,558
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-15948,C_05,42
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-72697,C_05,8
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-11598,C_06,55
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-34965,C_05,3
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-33076,C_06,79
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-71934,C_05,662
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-94915,C_08,8
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-78026,C_05,857
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-16556,C_06,32
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-25936,C_06,154
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-64308,C_05,114
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-13373,C_05,11
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-25977,C_05,342
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-86300,C_06,331
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-44794,C_08,88
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-92240,C_01,2
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-39965,C_08,57
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-36820,C_04,42
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-55650,C_08,16
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-43520,C_05,25
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-44094,C_08,166
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-94174,C_05,76
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-12097,C_08,98
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-62303,C_05,106
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-18080,C_05,32
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-21111,C_06,14
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-23783,C_01,10
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-34495,C_08,25
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-35165,C_05,130
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-54779,C_05,158
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-96628,C_05,31
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-73037,C_06,54
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-86488,C_05,37
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-83153,C_06,16
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-61365,C_04,40
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-60848,C_08,32
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-94861,C_08,227
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-56415,C_08,12
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-67072,C_06,34
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-28247,C_08,26
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-92488,C_08,50
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-90173,C_05,155
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-84748,C_05,146
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-70178,C_05,146
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-13517,C_05,28
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-99873,C_05,18
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-96096,C_08,10
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-25727,C_04,12
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-33733,C_05,46
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-60848,C_08,48
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-52540,C_04,41
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-14226,C_04,79
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-96628,C_05,40
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-43032,C_08,401
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-92757,C_08,180
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-81744,C_08,136
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-33748,C_05,6
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-86488,C_05,12
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-46130,C_08,6
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-73037,C_06,234
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-44895,C_04,98
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-84385,C_05,46
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-54292,C_05,2728
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-73165,C_05,109
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-81744,C_08,102
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-71934,C_05,4530
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-42490,C_05,135
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-92339,C_05,17
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-81744,C_08,118
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-43974,C_08,40
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-21111,C_06,43
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-44895,C_04,17
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-61472,C_05,92
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-32169,C_05,12
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-19485,C_05,326
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-44094,C_08,72
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-36679,C_08,2
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-55494,C_06,142
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-21165,C_06,10
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-55117,C_08,334
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-85807,C_01,18
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-48204,C_06,213
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-66149,C_06,168
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-13951,C_04,1
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-28648,C_08,18
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-43665,C_08,26
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-77990,C_05,108
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-44781,C_06,40
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-90508,C_05,18
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-96768,C_03,322
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-25010,C_05,170
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-11082,C_06,155
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-50922,C_08,72
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-60848,C_08,56
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-78598,C_04,4
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-94174,C_05,14
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-48035,C_08,458
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-44781,C_06,246
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-25010,C_05,382
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-45838,C_05,1002
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-55117,C_08,160
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-70178,C_05,24
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-95119,C_04,25
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-79372,C_08,83
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-94915,C_08,202
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-28247,C_08,134
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-43032,C_08,24
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-72365,C_05,399
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-46130,C_08,14
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-88485,C_08,36
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-19891,C_06,227
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-35165,C_05,42
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-34054,C_08,296
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-67027,C_08,112
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-11598,C_06,4
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-93718,C_05,274
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-43520,C_05,6
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-45838,C_05,388
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-94275,C_06,123
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-96628,C_05,198
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-95347,C_05,119
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-79982,C_05,115
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-34929,C_06,42
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-17050,C_05,58
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-90016,C_06,198
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-72466,C_05,48
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-24098,C_01,12
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-94275,C_06,31
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-16422,C_08,64
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-68414,C_08,7
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-13517,C_05,64
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-60585,C_05,58
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-20237,C_05,7
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-33050,C_06,34
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-42490,C_05,174
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-91319,C_05,8
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-56318,C_08,28
FI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-62059,C_04,11
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-21805,C_05,18
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-91615,C_05,27
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-90301,C_05,119
FI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-38592,C_05,29
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-57213,C_06,157
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-73165,C_05,90
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-59386,C_06,274
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-90173,C_05,391
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-44708,C_05,26
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-55511,C_06,83
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-39015,C_05,29
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-81014,C_06,577
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-17772,C_06,651
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-28648,C_08,17
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-91373,C_06,492
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-90016,C_06,39
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-19485,C_05,119
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-61472,C_05,73
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-43032,C_08,54
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-30748,C_08,41
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-50693,C_08,50
PI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-74774,C_08,18
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-67490,C_05,193
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-44781,C_06,248
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-24964,C_05,2
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-73037,C_06,24
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-93397,C_08,40
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-92940,C_05,35
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-85505,C_08,8
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-62303,C_05,5
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-26372,C_05,25
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-60402,C_08,29
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-84748,C_05,178
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-72979,C_05,112
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-59031,C_05,42
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-61451,C_08,108
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-66801,C_06,29
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-48551,C_05,24
PI,2024-08,2024-W32,2024-08-03,overkitting_waste,donation,alias-66351,C_08,7
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-92203,C_05,58
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-11082,C_06,50
PI,2024-07,2024-W29,2024-07-13,overkitting_waste,donation,alias-66986,C_06,14
PI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-79372,C_08,32
FI,2024-07,2024-W30,2024-07-20,overkitting_waste,donation,alias-68143,C_04,106
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-59386,C_06,1032
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-75923,C_08,85
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-88857,C_08,95
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-88857,C_08,84
PI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-68284,C_08,20
FI,2024-07,2024-W27,2024-06-29,overkitting_waste,donation,alias-89391,C_04,22
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-35198,C_05,718
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-35198,C_05,251
PI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-23848,C_08,80
FI,2024-08,2024-W35,2024-08-24,overkitting_waste,donation,alias-36648,C_08,19
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-72971,C_08,103
FI,2024-08,2024-W31,2024-07-27,overkitting_waste,donation,alias-84854,C_05,50
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-70439,C_05,174
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-38044,C_05,367
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-66351,C_08,41
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-94174,C_05,84
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-50557,C_05,78
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-55117,C_08,89
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-29418,C_08,118
FI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-26823,C_08,215
PI,2024-07,2024-W28,2024-07-06,overkitting_waste,donation,alias-74881,C_06,352
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-25010,C_05,169
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-36252,C_05,18
PI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-86300,C_06,210
FI,2024-08,2024-W33,2024-08-10,overkitting_waste,donation,alias-43674,C_05,6
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-83997,C_08,156
PI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-27457,C_08,25
FI,2024-08,2024-W34,2024-08-17,overkitting_waste,donation,alias-55117,C_08,6
